episode_number,title,views,length,video_id,publish_date,url,guest_names,episode_title
360.0,"Tim Urban: Tribalism, Marxism, Liberalism, Social Justice, and Politics | Lex Fridman Podcast #360",1598246,11238,GkZz2I6sK08,2023-02-20 00:00:00,https://www.youtube.com/watch?v=GkZz2I6sK08,Tim Urban,"Tribalism, Marxism, Liberalism, Social Justice, and Politics"
361.0,Aaron Smith-Levin: Scientology | Lex Fridman Podcast #361,2904654,7987,J1lN9zkK_k0,2023-02-25 00:00:00,https://www.youtube.com/watch?v=J1lN9zkK_k0,Aaron Smith-Levin,Scientology
362.0,"Ginni Rometty: IBM CEO on Leadership, Power, and Adversity | Lex Fridman Podcast #362",473250,6735,XiCxj-bXu5M,2023-03-02 00:00:00,https://www.youtube.com/watch?v=XiCxj-bXu5M,Ginni Rometty,"IBM CEO on Leadership, Power, and Adversity"
363.0,"B-Team Jiu Jitsu: Craig Jones, Nicky Rod, and Nicky Ryan | Lex Fridman Podcast #363",1085193,10203,hLZ6PACCBy8,2023-03-06 00:00:00,https://www.youtube.com/watch?v=hLZ6PACCBy8,B-Team Jiu Jitsu,"Craig Jones, Nicky Rod, and Nicky Ryan"
364.0,Chris Voss: FBI Hostage Negotiator | Lex Fridman Podcast #364,1565899,7817,8EguLJgkc54,2023-03-10 00:00:00,https://www.youtube.com/watch?v=8EguLJgkc54,Chris Voss,FBI Hostage Negotiator
365.0,"Sam Harris: Trump, Pandemic, Twitter, Elon, Bret, IDW, Kanye, AI & UFOs | Lex Fridman Podcast #365",1439736,16066,Qyrjgf-_Vdk,2023-03-14 00:00:00,https://www.youtube.com/watch?v=Qyrjgf-_Vdk,Sam Harris,"Trump, Pandemic, Twitter, Elon, Bret, IDW, Kanye, AI & UFOs"
366.0,"Shannon Curry: Johnny Depp & Amber Heard Trial, Marriage, Dating & Love | Lex Fridman Podcast #366",2314424,6402,qtOKrG_wK5A,2023-03-21 00:00:00,https://www.youtube.com/watch?v=qtOKrG_wK5A,Shannon Curry,"Johnny Depp & Amber Heard Trial, Marriage, Dating & Love"
367.0,"Sam Altman: OpenAI CEO on GPT-4, ChatGPT, and the Future of AI | Lex Fridman Podcast #367",6207117,8636,L_Guz73e6fw,2023-03-25 00:00:00,https://www.youtube.com/watch?v=L_Guz73e6fw,Sam Altman,"OpenAI CEO on GPT-4, ChatGPT, and the Future of AI"
368.0,Eliezer Yudkowsky: Dangers of AI and the End of Human Civilization | Lex Fridman Podcast #368,1811244,11871,AaTRHFaaPG8,2023-03-30 00:00:00,https://www.youtube.com/watch?v=AaTRHFaaPG8,Eliezer Yudkowsky,Dangers of AI and the End of Human Civilization
369.0,"Paul Rosolie: Amazon Jungle, Uncontacted Tribes, Anacondas, and Ayahuasca | Lex Fridman Podcast #369",8748474,12898,gPfriiHBBek,2023-04-04 00:00:00,https://www.youtube.com/watch?v=gPfriiHBBek,Paul Rosolie,"Amazon Jungle, Uncontacted Tribes, Anacondas, and Ayahuasca"
