title,views,length,video_id,publish_date,url
Bishop Robert Barron: Christianity and the Catholic Church | Lex Fridman Podcast #304,959955,6872,WgytXF0SPh0,2022-07-20 00:00:00,https://www.youtube.com/watch?v=WgytXF0SPh0
"Steve Keen: Marxism, Capitalism, and Economics | Lex Fridman Podcast #303",2232340,12662,1XGiTDWfdpM,2022-07-17 00:00:00,https://www.youtube.com/watch?v=1XGiTDWfdpM
"Richard Haier: IQ Tests, Human Intelligence, and Group Differences | Lex Fridman Podcast #302",1728291,9856,hppbxV9C63g,2022-07-14 00:00:00,https://www.youtube.com/watch?v=hppbxV9C63g
Lex Fridman plays chess with Demis Hassabis,228409,599,UbkB-vhjhHA,2022-07-12 00:00:00,https://www.youtube.com/watch?v=UbkB-vhjhHA
Jack Barsky: KGB Spy | Lex Fridman Podcast #301,4990573,13054,dSVLjAdo8UA,2022-07-09 00:00:00,https://www.youtube.com/watch?v=dSVLjAdo8UA
"Joe Rogan: Comedy, Controversy, Aliens, UFOs, Putin, CIA, and Freedom | Lex Fridman Podcast #300",10346144,6081,gk4tEO4jDUM,2022-07-04 00:00:00,https://www.youtube.com/watch?v=gk4tEO4jDUM
"Demis Hassabis: DeepMind - AI, Superintelligence & the Future of Humanity | Lex Fridman Podcast #299",1360070,7839,Gfr50f6ZBvo,2022-07-01 00:00:00,https://www.youtube.com/watch?v=Gfr50f6ZBvo
Susan Cain: The Power of Introverts and Loneliness | Lex Fridman Podcast #298,548787,7183,j4PEu4sVD40,2022-06-28 00:00:00,https://www.youtube.com/watch?v=j4PEu4sVD40
DeepMind cube,228800,68,w8267OmP22E,2022-06-26 00:00:00,https://www.youtube.com/watch?v=w8267OmP22E
Jonathan Reisman: The Human Body - From Sex & Sperm to Hands & Heart | Lex Fridman Podcast #297,680982,9831,XOPO9J7DIXw,2022-06-25 00:00:00,https://www.youtube.com/watch?v=XOPO9J7DIXw
"Douglas Murray: Racism, Marxism, and the War on the West | Lex Fridman Podcast #296",4592318,9510,EG7I6Bt_NZY,2022-06-21 00:00:00,https://www.youtube.com/watch?v=EG7I6Bt_NZY
Richard Wolff: Marxism and Communism | Lex Fridman Podcast #295,2856850,10431,o0Bi-q89j5Y,2022-06-17 00:00:00,https://www.youtube.com/watch?v=o0Bi-q89j5Y
Donald Hoffman: Reality is an Illusion - How Evolution Hid the Truth | Lex Fridman Podcast #293,7260233,11776,reYdQYZ9Rj4,2022-06-12 00:00:00,https://www.youtube.com/watch?v=reYdQYZ9Rj4
